row_id,monitor,date_hour,date,hour,season,sin_hour,cos_hour,season_binary,mod_pm25,mod_pm1,mod_pm10,mod_temp,mod_rh,grimm_pm25,split_day_block
79,MOD-PM-00884,2025-08-16T09:00:00Z,2025-08-16,9,Not Harmattan,0.7071067811865476,-0.7071067811865475,0,15.59385220448096,15.295797663207612,16.99527096797858,25.988,76.622,14.995,train
80,MOD-PM-00884,2025-08-16T10:00:00Z,2025-08-16,10,Not Harmattan,0.49999999999999994,-0.8660254037844387,0,17.068954830367794,16.70006464925275,18.629793789087177,27.656,70.48816666666667,13.85,train
81,MOD-PM-00884,2025-08-16T11:00:00Z,2025-08-16,11,Not Harmattan,0.258819045102521,-0.9659258262890682,0,16.355292851046542,16.046094437634753,17.83807747671549,29.712333333333333,62.927166666666665,13.463333333333331,train
82,MOD-PM-00884,2025-08-16T12:00:00Z,2025-08-16,12,Not Harmattan,1.2246467991473532e-16,-1,0,18.11409023523601,17.725277857181528,19.037172128740465,30.343666666666667,60.121,11.493333333333334,train
83,MOD-PM-00884,2025-08-16T13:00:00Z,2025-08-16,13,Not Harmattan,-0.2588190451025208,-0.9659258262890683,0,21.38553208329644,20.808420448712138,21.807325875117847,29.282,63.24033333333333,11.446666666666667,train
84,MOD-PM-00884,2025-08-16T14:00:00Z,2025-08-16,14,Not Harmattan,-0.4999999999999998,-0.8660254037844388,0,22.47659047520444,21.82393751370986,22.715603056153277,28.554166666666667,65.30316666666667,13.648333333333332,train
85,MOD-PM-00884,2025-08-16T15:00:00Z,2025-08-16,15,Not Harmattan,-0.7071067811865471,-0.7071067811865479,0,24.18510096505993,23.43753729982017,24.622185518654906,28.464833333333335,65.84883333333333,14.31,train
86,MOD-PM-00884,2025-08-16T16:00:00Z,2025-08-16,16,Not Harmattan,-0.8660254037844384,-0.5000000000000004,0,26.7901700908796,25.9139206613852,25.88735134636902,27.634333333333338,67.94633333333333,15.01,train
87,MOD-PM-00884,2025-08-16T17:00:00Z,2025-08-16,17,Not Harmattan,-0.9659258262890683,-0.25881904510252063,0,31.687983089631988,30.52470596240713,29.568121076461097,27.279,69.17083333333333,16.461666666666666,train
88,MOD-PM-00884,2025-08-16T18:00:00Z,2025-08-16,18,Not Harmattan,-1,-1.8369701987210297e-16,0,31.396661689609605,30.19251687512422,29.388602168106956,26.10333333333333,72.971,18.961666666666662,train
89,MOD-PM-00884,2025-08-16T19:00:00Z,2025-08-16,19,Not Harmattan,-0.9659258262890684,0.2588190451025203,0,24.122905090072653,23.342942191105855,23.802040111553545,25.319666666666667,75.61816666666667,20.53333333333333,train
90,MOD-PM-00884,2025-08-16T20:00:00Z,2025-08-16,20,Not Harmattan,-0.8660254037844386,0.5000000000000001,0,23.29828974819213,22.5780242487668,23.22046838045768,25.036666666666665,76.891,17.54,train
91,MOD-PM-00884,2025-08-16T21:00:00Z,2025-08-16,21,Not Harmattan,-0.7071067811865477,0.7071067811865474,0,16.407313073044097,16.0717391966171,17.56222518232906,24.927,77.407,18.031666666666663,train
92,MOD-PM-00884,2025-08-16T22:00:00Z,2025-08-16,22,Not Harmattan,-0.5000000000000004,0.8660254037844384,0,12.056721813728968,11.998628107176952,14.298536662465043,24.903333333333332,76.976,14.268333333333333,train
93,MOD-PM-00884,2025-08-16T23:00:00Z,2025-08-16,23,Not Harmattan,-0.25881904510252157,0.9659258262890681,0,11.256087569876325,11.242328958554394,13.567281559896434,24.5015,77.72833333333334,11.478333333333332,train
94,MOD-PM-00884,2025-08-17T00:00:00Z,2025-08-17,0,Not Harmattan,0,1,0,10.7262806754355,10.746709843098188,13.12085469713196,24.345666666666663,77.51266666666666,10.805,test
95,MOD-PM-00884,2025-08-17T01:00:00Z,2025-08-17,1,Not Harmattan,0.25881904510252074,0.9659258262890683,0,12.309828436791957,12.174466889696545,14.478513849722551,24.206833333333332,79.24683333333333,10.233333333333334,test
96,MOD-PM-00884,2025-08-17T02:00:00Z,2025-08-17,2,Not Harmattan,0.49999999999999994,0.8660254037844387,0,13.60896771669019,13.446546974790683,15.375665915310684,23.93616666666667,80.664,12.116666666666667,test
97,MOD-PM-00884,2025-08-17T03:00:00Z,2025-08-17,3,Not Harmattan,0.7071067811865475,0.7071067811865476,0,12.878094813274096,12.739921320310968,14.908332052920109,23.4505,82.74366666666667,13.21,test
98,MOD-PM-00884,2025-08-17T04:00:00Z,2025-08-17,4,Not Harmattan,0.8660254037844386,0.5000000000000001,0,10.945312115841524,10.799172902171591,13.584917396315731,22.855666666666668,83.15683333333334,13.501666666666669,test
99,MOD-PM-00884,2025-08-17T05:00:00Z,2025-08-17,5,Not Harmattan,0.9659258262890683,0.25881904510252074,0,9.4050771539844,9.372031483695844,12.322027160397656,22.537333333333333,83.84016666666666,12.37,test
100,MOD-PM-00884,2025-08-17T06:00:00Z,2025-08-17,6,Not Harmattan,1,6.123233995736766e-17,0,8.931552428384526,8.952230819214442,12.0252046555019,22.975833333333338,82.23116666666667,11.255,test
101,MOD-PM-00884,2025-08-17T07:00:00Z,2025-08-17,7,Not Harmattan,0.9659258262890683,-0.25881904510252063,0,10.157810378051764,10.142643986169013,12.709225425581907,23.913666666666668,79.36466666666666,10.273333333333332,test
